what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1336711137745
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711137955
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1336711138650
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1336711138795
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1336711138796
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1336711139219
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711141383
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1336711163248
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336711166682
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336711240953
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1336711241053
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1336711241064
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711246777
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711260956
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711279713
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711280997
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711281682
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711284678
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711297523
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711298638
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711299135
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711306057
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711313900
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711313941
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711319309
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711324493
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711347505
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711354877
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711365848
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711369314
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1336711373037
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1336711373089
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711378725
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711401304
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711457953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711458106
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336711463547
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711465342
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711470328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711477790
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711482364
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711499515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711503606
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711510714
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711514514
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711517186
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711518794
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711523991
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711525626
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711541005
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711542288
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711543236
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711545895
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711551578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711554292
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711567514
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711569945
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336711587326
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711604880
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711648516
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711662699
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711706249
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711733978
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336711784773
