what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336729356059
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729367581
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729373568
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729376423
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336729377892
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729452975
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729463490
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336729465370
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729471049
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336729472799
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336729474314
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729479742
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336729481679
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729483675
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729486570
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336729494547
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729552003
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729553622
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729564087
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729585723
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729594283
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729595625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729601244
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729606909
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729625978
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729627463
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729630427
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729648244
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729649568
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729651814
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729659773
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729720174
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729721460
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729724555
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729736871
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729738861
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729745607
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729774359
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336729775423
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729787516
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729789076
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729791402
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729796665
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336729806752
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729825103
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729826703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729828914
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729849649
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729851238
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729854050
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729863541
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336729874935
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729908608
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729909928
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729912240
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729916358
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729926524
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729928016
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336729930634
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336729936864
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336730000010
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730111556
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730266764
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730266874
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730269072
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1336730270467
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1336730272764
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730276103
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730294527
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730298930
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730566257
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730572711
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730593748
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1336730603779
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1336730610259
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1336730611422
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336730673530
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730674525
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730759520
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730763335
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730771735
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730773744
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730790933
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730791108
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730796886
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336730797034
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336730800188
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730822392
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730829467
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730830576
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336730835809
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336730847608
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1336731010099
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336731021498
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1336731042383
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336731111415
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336731651664
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336746639181
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336746639186
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336746639295
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1336787493088
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1336787493090
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1336787493092
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1336787493093
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1336787493094
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1336787493096
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1336787493098
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1336787493099
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1336787493100
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1336787493102
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1336787493103
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1336787493104
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1336787493106
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1336787493108
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1336787493109
